text,x0,x1,top,doctop,bottom,upright,height,width,direction,page
X,1825.2133695,1827.797922,237.9408585000001,25149.9408585,243.88235850000046,True,5.94150000000036,2.5845524999999725,ltr,23
800,1829.2832970000002,1837.2686730000003,237.9408585000001,25149.9408585,243.88235850000046,True,5.94150000000036,7.9853760000000875,ltr,23
(CTRL/DANTE),1838.754048,1868.0634675000001,237.9408585000001,25149.9408585,243.88235850000046,True,5.94150000000036,29.309419500000104,ltr,23
RJ45,1894.38,1904.8251570000002,237.9408585000001,25149.9408585,243.88235850000046,True,5.94150000000036,10.445157000000108,ltr,23
LAN,1933.14,1941.3689775,238.00085850000005,25150.0008585,243.9423585000004,True,5.94150000000036,8.228977499999928,ltr,23
2,1942.8543525,1945.5161445,238.00085850000005,25150.0008585,243.9423585000004,True,5.94150000000036,2.661792000000105,ltr,23
(POE+),1947.0015195,1960.5303150000002,238.00085850000005,25150.0008585,243.9423585000004,True,5.94150000000036,13.528795500000115,ltr,23
RJ45,1988.94,1999.3851570000002,237.9408585000001,25149.9408585,243.88235850000046,True,5.94150000000036,10.445157000000108,ltr,23
SD,2110.62,2116.2406589999996,238.00085850000005,25150.0008585,243.9423585000004,True,5.94150000000036,5.620658999999705,ltr,23
CARD,2117.726034,2129.240661,238.00085850000005,25150.0008585,243.9423585000004,True,5.94150000000036,11.514627000000019,ltr,23
-,2130.726036,2131.7063835,238.00085850000005,25150.0008585,243.9423585000004,True,5.94150000000036,0.9803474999998798,ltr,23
SLOT,2133.1917585,2143.7438625,238.00085850000005,25150.0008585,243.9423585000004,True,5.94150000000036,10.552103999999872,ltr,23
PHX,2184.12,2192.3370944999997,238.00085850000005,25150.0008585,243.9423585000004,True,5.94150000000036,8.217094499999803,ltr,23
-,2193.8224695,2194.802817,238.00085850000005,25150.0008585,243.9423585000004,True,5.94150000000036,0.9803474999998798,ltr,23
CRESNET,2196.288192,2215.2059280000003,238.00085850000005,25150.0008585,243.9423585000004,True,5.94150000000036,18.917736000000332,ltr,23
CRESNET,2235.36,2252.55799392,235.1934946199999,25147.193494619998,240.59487462000016,True,5.401380000000245,17.197993920000044,ltr,23
CRESNET,2883.36,2900.55799392,235.1934946199999,25147.193494619998,240.59487462000016,True,5.401380000000245,17.197993920000044,ltr,23
CRESNET,2920.5,2939.4177360000003,238.00085850000005,25150.0008585,243.9423585000004,True,5.94150000000036,18.917736000000332,ltr,23
-,2940.903111,2941.8834585,238.00085850000005,25150.0008585,243.9423585000004,True,5.94150000000036,0.9803474999998798,ltr,23
PHX,2943.3688335,2951.585928,238.00085850000005,25150.0008585,243.9423585000004,True,5.94150000000036,8.217094499999803,ltr,23
LARGE,1789.14,1802.710386,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,13.570385999999871,ltr,23
TRFORTE,1804.1957610000002,1822.804539,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,18.608777999999802,ltr,23
X,1824.2899140000002,1826.8744665000002,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,2.5845524999999725,ltr,23
800,1828.3598415000001,1836.3452175000002,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,7.9853760000000875,ltr,23
(CTRL/DANTE),1837.8305925000002,1867.140012,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,29.309419499999876,ltr,23
RJ45,1894.38,1904.8251570000002,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,10.445157000000108,ltr,23
LAN,1933.14,1941.3689775,248.80085849999978,25160.8008585,254.74235850000014,True,5.94150000000036,8.228977499999928,ltr,23
3,1942.8543525,1945.5161445,248.80085849999978,25160.8008585,254.74235850000014,True,5.94150000000036,2.661792000000105,ltr,23
(POE+),1947.0015195,1960.5303150000002,248.80085849999978,25160.8008585,254.74235850000014,True,5.94150000000036,13.528795500000115,ltr,23
RJ45,1988.94,1999.3851570000002,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,10.445157000000108,ltr,23
USB,2110.38,2118.7872225,248.80085849999978,25160.8008585,254.74235850000014,True,5.94150000000036,8.407222499999989,ltr,23
-,2120.2725975000003,2121.252945,248.80085849999978,25160.8008585,254.74235850000014,True,5.94150000000036,0.9803474999998798,ltr,23
USB,2122.73832,2131.1455425,248.80085849999978,25160.8008585,254.74235850000014,True,5.94150000000036,8.407222499999989,ltr,23
A,2132.6309175,2135.441247,248.80085849999978,25160.8008585,254.74235850000014,True,5.94150000000036,2.81032950000008,ltr,23
(2.0),2136.926622,2145.874521,248.80085849999978,25160.8008585,254.74235850000014,True,5.94150000000036,8.947899000000234,ltr,23
PHX,2186.8199999999997,2195.0370944999995,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,8.217094499999803,ltr,23
-,2196.5224694999997,2197.5028169999996,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,0.9803474999998798,ltr,23
RELAY,2198.988192,2212.0297844999996,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,13.041592499999751,ltr,23
1,2213.5151594999998,2216.1769514999996,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,2.6617919999998776,ltr,23
EXT,2920.38,2927.9375880000002,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,7.557588000000123,ltr,23
-,2929.422963,2930.4033105,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,0.9803474999998798,ltr,23
PHX,2931.8886855,2940.10578,248.74085849999983,25160.7408585,254.6823585000002,True,5.94150000000036,8.217094499999803,ltr,23
MXWNDX4,1810.02,1831.5757620000002,259.5408585,25171.5408585,265.4823585000004,True,5.94150000000036,21.555762000000186,ltr,23
(CTRL),1833.061137,1846.3166234999999,259.5408585,25171.5408585,265.4823585000004,True,5.94150000000036,13.25548649999996,ltr,23
RJ45,1894.38,1904.8251570000002,259.5408585,25171.5408585,265.4823585000004,True,5.94150000000036,10.445157000000108,ltr,23
LAN,1933.14,1941.3689775,259.60085849999996,25171.6008585,265.5423585000003,True,5.94150000000036,8.228977499999928,ltr,23
4,1942.8543525,1945.5161445,259.60085849999996,25171.6008585,265.5423585000003,True,5.94150000000036,2.661792000000105,ltr,23
(POE+),1947.0015195,1960.5303150000002,259.60085849999996,25171.6008585,265.5423585000003,True,5.94150000000036,13.528795500000115,ltr,23
RJ45,1988.94,1999.3851570000002,259.5408585,25171.5408585,265.4823585000004,True,5.94150000000036,10.445157000000108,ltr,23
I/O,2110.38,2116.701756,259.60085849999996,25171.6008585,265.5423585000003,True,5.94150000000036,6.321755999999823,ltr,23
1-8,2118.187131,2124.4910624999998,259.60085849999996,25171.6008585,265.5423585000003,True,5.94150000000036,6.303931499999635,ltr,23
-,2125.9764375,2126.956785,259.60085849999996,25171.6008585,265.5423585000003,True,5.94150000000036,0.9803474999998798,ltr,23
PHX,2128.44216,2136.6592545,259.60085849999996,25171.6008585,265.5423585000003,True,5.94150000000036,8.217094499999803,ltr,23
PHX,2186.04,2194.2570944999998,259.5408585,25171.5408585,265.4823585000004,True,5.94150000000036,8.217094499999803,ltr,23
-,2195.7424695,2196.722817,259.5408585,25171.5408585,265.4823585000004,True,5.94150000000036,0.9803474999998798,ltr,23
